subject,task,sequence_length,label,movement_mean,movement_std,movement_max,movement_min,movement_median,movement_p95,movement_p99,movement_iqr,movement_cv,movement_skew,movement_kurtosis,scanpath_length,num_samples,dispersion,dispersion_x,dispersion_y,center_distance_mean,center_distance_std,center_distance_max,velocity_mean,velocity_std,velocity_max,acceleration_mean,acceleration_std,acceleration_max,fixation_mean_duration,fixation_max_duration,fixation_count,hull_area,cluster
sub-013,listening,5,500105,0.0014094461994296,0.0111844326859974,0.329452038564657,1.206007479355087e-06,0.0005899721309524,0.0019971549703733,0.0056190491267325,0.0005647773919456,7.935338497151007,21.739812016570585,522.0497597192793,3.406631464021501,2418,0.0268363636581793,0.0085032323748996,0.0254535941189551,0.0634214441891539,0.0176101336112103,0.3636289382258589,0.2471800577586409,1.439826728677078,53.81836492710904,16.920910655130363,744.3826241937136,30019.71257611937,1.136150234741784,3.0,213,0.0187731895247855,0
sub-013,listening,9,500109,0.0006393742110833,0.0015493089407896,0.0718303124422787,1.559289905574482e-05,0.0005227178672319,0.0013308707247512,0.0019143243325958,0.0004743654424548,2.4231645786348066,42.746007063840935,1957.8158855852512,2.890610808307611,4522,0.0119461002031861,0.0034433241246777,0.0114390921421665,0.064118551851128,0.0098519038426262,0.1272997654848296,0.1600385743239606,0.4766672298932804,30.96065839049423,2.505201715095668,203.6712438987502,13267.81765570589,1.1243781094527363,3.0,402,0.0007719761354757,0
sub-013,memory,13,6001131,0.0006538084641379,0.0005290188699633,0.0068327136055347,4.160472272846667e-06,0.0005348269926125,0.0015109015676764,0.0027297021380146,0.000502428853619,0.8091343244705106,3.2214707045162423,18.890245584219347,4.27459973853376,6539,0.0115684484772694,0.0086257915871727,0.007708743066538,0.085180864417092,0.0087751755166679,0.1071052399598677,0.1634641869523582,0.1361839287970905,1.9770591781485876,0.2906136845323003,39.70704365423912,523.3797215901513,1.1160409556313993,3.0,586,0.001553336163997,1
sub-013,memory,9,6001090,0.0007730600908759,0.003978080853026,0.136616832789125,9.344007076424156e-06,0.0005284765860144,0.0015206028187095,0.0027727436307516,0.0005313016759082,5.1458882692008325,32.37300570506045,1070.4223975006712,3.4694936878513927,4489,0.0091371665635468,0.0061935512259756,0.0067177180665172,0.0395494609563239,0.0071366924551064,0.1598887068078069,0.1879294267081364,1.1515846200529796,68.3271401319162,7.415026908142587,544.9174670475951,34437.29611665205,1.1483375959079285,4.0,391,0.0041305777492981,0
sub-013,memory,13,6001131,0.0006653523248072,0.001682956799631,0.0933949533516061,0.0,0.0005317276762124,0.0014425825297143,0.002296260285699,0.0005017625769689,2.5294219872433743,50.44564521385152,2760.7016241488864,4.354065613538868,6545,0.0081086750483215,0.0059729814002717,0.0054839861625718,0.0539211501903222,0.0043733543254223,0.1459695667924703,0.1625557207110534,0.3183154602546554,24.00875376455351,0.9158065135046782,87.12400036752798,6103.181518946697,1.0916666666666666,5.0,600,0.0019662018177036,0
sub-013,memory,13,6001130,0.000601805612319,0.0004110983522907,0.0054436486025003,0.0,0.0005162379104739,0.0013764171709168,0.0019675427569807,0.0004706491162326,0.6831082061641434,2.005835324765673,9.342666840119602,3.934605093341744,6539,0.0085009428421049,0.0027165225121426,0.0080552178521599,0.0444596887312676,0.0055004326617026,0.0579092937109589,0.1502203942635555,0.1041811250846676,1.3441844523761777,0.2275816848383963,34.544934463863214,326.7569396321158,1.117948717948718,3.0,585,0.0004381647354801,1
sub-013,memory,5,6001051,0.0006611615043519,0.000546100958957,0.0088889605402359,1.2273762566184071e-05,0.0005511950749058,0.0015058159478181,0.0024221040641194,0.0005117604223381,0.825972104186947,4.792587519605229,48.18054200193704,1.6568707299060992,2507,0.0072795518232532,0.0042345642928262,0.0059211772475876,0.0269629284908466,0.0040804457654655,0.0498811686904971,0.1652836321146563,0.1380866274867447,2.200236220109396,0.3083097630865996,37.47590318989267,346.5701970754879,1.1357466063348416,4.0,221,0.0004318987325305,1
sub-013,memory,9,6001090,0.0006477617294689,0.0005698870082751,0.0142167892856282,2.94512163389533e-06,0.0005296091034883,0.0015023020932617,0.0027442740559842,0.0004932034463921,0.8797787555963983,6.992242893331359,120.73235268109568,2.9343606344941517,4531,0.0128132845822473,0.0055246535581664,0.0115610754191768,0.0625323871830923,0.009840344112389,0.0888790320380021,0.1610926397799991,0.1360728879613255,3.572128207504206,0.3095302156904754,39.06618450470791,845.0145435574368,1.141057934508816,4.0,397,0.001102870526067,1
sub-013,memory,13,6001130,0.000643883788917,0.0020395948536908,0.1151800201793381,5.473469117177287e-07,0.0005307376397685,0.0013309389773392,0.0019224934972032,0.0004888133287066,3.1676443619137595,53.83340949291576,3013.25616842816,4.205205025417465,6532,0.0093755349140921,0.0026685131594091,0.0089877523577044,0.0190574324335655,0.0036265909167471,0.1248494353038798,0.1534031947764643,0.1488062864142297,8.922558427533797,0.1210496051756887,43.05158504748363,687.3508839489994,1.112436115843271,4.0,587,0.0013380953879297,0
sub-013,memory,9,6001090,0.0008626133648333,0.0052028731518297,0.1758188665523068,0.0,0.0005632248581111,0.0015978482422312,0.003113811728483,0.0005274733406214,6.031523929420102,32.26397736507088,1062.3776682016294,3.8481182205214433,4462,0.0097894048179647,0.0046207341975495,0.0086302527289522,0.0484385939051877,0.0067074935677678,0.154632648152859,0.1982059893510034,1.3252285738631824,86.60455375875591,7.766604123593343,646.4753305908987,41231.390578292194,1.117794486215539,4.0,399,0.0043385211958052,0
