subject,trial,condition,accuracy
16,40,13,0.38461538461538464
16,41,5,1.0
16,42,5,1.0
16,43,9,0.2222222222222222
16,44,9,0.3333333333333333
16,45,13,0.07692307692307693
16,46,13,0.38461538461538464
16,47,13,0.23076923076923078
16,48,5,1.0
16,49,5,0.6
16,50,9,0.5555555555555556
16,51,9,0.3333333333333333
16,58,9,0.6666666666666666
16,59,9,0.4444444444444444
16,60,5,1.0
16,61,9,1.0
16,62,5,1.0
16,63,5,1.0
16,64,13,0.23076923076923078
16,65,13,0.07692307692307693
16,66,13,0.5384615384615384
16,67,13,0.07692307692307693
16,68,9,0.4444444444444444
16,69,5,1.0
16,76,9,0.4444444444444444
16,77,5,1.0
16,78,13,0.15384615384615385
16,79,5,1.0
16,80,9,0.4444444444444444
16,81,13,0.6153846153846154
16,82,13,0.46153846153846156
16,83,9,0.8888888888888888
16,84,13,0.5384615384615384
16,85,5,1.0
16,86,9,0.4444444444444444
16,87,5,1.0
16,94,5,1.0
16,95,5,1.0
16,96,5,1.0
16,97,13,0.38461538461538464
16,98,9,0.6666666666666666
16,99,5,1.0
16,100,13,0.2
16,101,9,0.1111111111111111
16,102,9,0.0
16,103,13,0.23076923076923078
16,104,9,0.6666666666666666
16,105,13,0.15384615384615385
16,112,5,1.0
16,113,5,1.0
16,114,5,1.0
16,115,9,0.5555555555555556
16,116,13,0.38461538461538464
16,117,5,1.0
16,118,9,0.7777777777777778
16,119,9,0.4444444444444444
16,120,9,0.3333333333333333
16,121,13,0.5384615384615384
16,122,13,0.46153846153846156
16,123,13,0.07692307692307693
16,130,13,0.15384615384615385
16,131,5,1.0
16,132,9,0.1111111111111111
16,133,5,1.0
16,134,13,0.3076923076923077
16,135,13,0.23076923076923078
16,136,13,0.23076923076923078
16,137,9,0.4444444444444444
16,138,5,1.0
16,139,9,0.3333333333333333
16,140,9,0.2222222222222222
16,141,5,1.0
16,148,5,1.0
16,149,5,1.0
16,150,9,0.2222222222222222
16,151,13,0.38461538461538464
16,152,13,0.5384615384615384
16,153,13,0.0
16,154,5,1.0
16,155,9,0.5555555555555556
16,156,9,0.7777777777777778
16,157,13,0.3076923076923077
16,158,9,0.4444444444444444
16,159,5,1.0
18,4,5,1.0
18,5,9,0.2222222222222222
18,6,5,1.0
18,7,13,0.15384615384615385
18,8,9,0.4444444444444444
18,9,9,0.3333333333333333
18,10,13,0.38461538461538464
18,11,13,0.07692307692307693
18,12,5,1.0
18,13,9,0.6666666666666666
18,14,13,0.3076923076923077
18,15,5,1.0
18,22,9,0.5555555555555556
18,23,13,0.3076923076923077
18,24,5,1.0
18,25,9,0.6666666666666666
18,26,5,1.0
18,27,9,0.7777777777777778
18,28,5,1.0
18,29,5,1.0
18,30,13,0.46153846153846156
18,31,9,0.3333333333333333
18,32,13,0.15384615384615385
18,33,13,0.38461538461538464
18,40,13,0.3076923076923077
18,41,13,0.46153846153846156
18,42,5,0.6
18,43,9,0.3333333333333333
18,44,5,1.0
18,45,9,0.7777777777777778
18,46,13,0.23076923076923078
18,47,5,1.0
18,48,13,0.23076923076923078
18,49,9,0.5555555555555556
18,50,5,1.0
18,51,9,0.5555555555555556
18,58,9,0.7777777777777778
18,59,5,1.0
18,60,13,0.46153846153846156
18,61,13,0.38461538461538464
18,62,9,0.8888888888888888
18,63,5,1.0
18,64,5,1.0
18,65,9,0.5555555555555556
18,66,9,0.4444444444444444
18,67,13,0.3076923076923077
18,68,5,1.0
18,69,13,0.3076923076923077
18,76,9,0.7777777777777778
18,77,5,1.0
18,78,5,0.8
18,79,5,1.0
18,80,9,0.6666666666666666
18,81,13,0.6153846153846154
18,82,5,1.0
18,83,9,0.5555555555555556
18,84,9,0.4444444444444444
18,85,13,0.15384615384615385
18,86,13,0.3076923076923077
18,87,13,0.5384615384615384
18,94,5,1.0
18,95,5,1.0
18,96,5,1.0
18,97,9,0.5555555555555556
18,98,9,0.5555555555555556
18,99,9,0.7777777777777778
18,100,13,0.46153846153846156
18,101,13,0.3076923076923077
18,102,13,0.46153846153846156
18,103,5,1.0
18,104,13,0.38461538461538464
18,105,9,0.5555555555555556
18,112,13,0.46153846153846156
18,113,5,0.6
18,114,13,0.23076923076923078
18,115,9,0.3333333333333333
18,116,9,0.4444444444444444
18,117,5,1.0
