subject,trial,condition,accuracy,cluster,label
15,94,9,0.3333333333333333,1,과부하
15,95,13,0.4615384615384615,1,과부하
15,96,13,0.2727272727272727,1,과부하
15,97,9,1.0,0,정상
15,98,13,0.2307692307692307,1,과부하
15,99,5,1.0,0,정상
15,100,5,1.0,0,정상
15,101,9,0.3333333333333333,1,과부하
15,102,5,1.0,0,정상
15,103,5,1.0,0,정상
15,104,13,0.2307692307692307,1,과부하
15,105,9,0.3333333333333333,1,과부하
15,112,9,0.0,1,과부하
15,113,13,0.0769230769230769,1,과부하
15,114,9,0.5555555555555556,1,과부하
15,115,5,1.0,0,정상
15,116,13,0.125,1,과부하
15,117,13,0.1538461538461538,1,과부하
15,118,9,0.6666666666666666,0,정상
15,119,5,1.0,0,정상
15,120,13,0.2307692307692307,1,과부하
15,121,5,1.0,0,정상
15,122,5,1.0,0,정상
15,123,9,0.7777777777777778,0,정상
15,130,5,1.0,0,정상
15,131,9,0.6666666666666666,0,정상
15,132,5,1.0,0,정상
15,133,13,0.0769230769230769,1,과부하
15,134,9,0.6666666666666666,0,정상
15,135,9,0.3333333333333333,1,과부하
15,136,9,0.3333333333333333,1,과부하
15,137,13,0.3076923076923077,1,과부하
15,138,5,1.0,0,정상
15,139,5,1.0,0,정상
15,140,13,0.3076923076923077,1,과부하
15,141,13,0.2307692307692307,1,과부하
15,148,13,0.2307692307692307,1,과부하
15,149,9,1.0,0,정상
15,150,9,0.7777777777777778,0,정상
15,151,13,0.1666666666666666,1,과부하
15,152,9,1.0,0,정상
15,153,5,1.0,0,정상
15,154,5,1.0,0,정상
15,155,9,0.3333333333333333,1,과부하
15,156,5,1.0,0,정상
15,157,13,0.3076923076923077,1,과부하
15,158,5,1.0,0,정상
15,159,13,0.0769230769230769,1,과부하
16,4,5,1.0,0,정상
16,5,9,0.2222222222222222,1,과부하
16,6,9,0.5555555555555556,1,과부하
16,7,5,1.0,0,정상
16,8,13,0.3076923076923077,1,과부하
16,9,5,1.0,0,정상
16,10,9,0.5555555555555556,1,과부하
16,11,13,0.3076923076923077,1,과부하
16,12,5,1.0,0,정상
16,13,13,0.2307692307692307,1,과부하
16,14,13,0.4615384615384615,1,과부하
16,15,9,0.7777777777777778,0,정상
16,22,5,1.0,0,정상
16,23,9,0.5555555555555556,1,과부하
16,24,13,0.0769230769230769,1,과부하
16,25,13,0.3076923076923077,1,과부하
16,26,5,1.0,0,정상
16,27,13,0.5384615384615384,1,과부하
16,28,13,0.3846153846153846,1,과부하
16,29,9,0.5555555555555556,1,과부하
16,30,9,0.6666666666666666,0,정상
16,31,9,0.8888888888888888,0,정상
16,32,5,0.6,1,과부하
16,33,5,1.0,0,정상
16,40,13,0.3846153846153846,1,과부하
16,41,5,1.0,0,정상
16,42,5,1.0,0,정상
16,43,9,0.2222222222222222,1,과부하
16,44,9,0.3333333333333333,1,과부하
16,45,13,0.0769230769230769,1,과부하
16,46,13,0.3846153846153846,1,과부하
16,47,13,0.2307692307692307,1,과부하
16,48,5,1.0,0,정상
16,49,5,0.6,1,과부하
16,50,9,0.5555555555555556,1,과부하
16,51,9,0.3333333333333333,1,과부하
16,58,9,0.6666666666666666,0,정상
16,59,9,0.4444444444444444,1,과부하
16,60,5,1.0,0,정상
16,61,9,1.0,0,정상
16,62,5,1.0,0,정상
16,63,5,1.0,0,정상
16,64,13,0.2307692307692307,1,과부하
16,65,13,0.0769230769230769,1,과부하
16,66,13,0.5384615384615384,1,과부하
16,67,13,0.0769230769230769,1,과부하
16,68,9,0.4444444444444444,1,과부하
16,69,5,1.0,0,정상
16,76,9,0.4444444444444444,1,과부하
16,77,5,1.0,0,정상
16,78,13,0.1538461538461538,1,과부하
16,79,5,1.0,0,정상
16,80,9,0.4444444444444444,1,과부하
16,81,13,0.6153846153846154,1,과부하
16,82,13,0.4615384615384615,1,과부하
16,83,9,0.8888888888888888,0,정상
16,84,13,0.5384615384615384,1,과부하
16,85,5,1.0,0,정상
16,86,9,0.4444444444444444,1,과부하
16,87,5,1.0,0,정상
16,94,5,1.0,0,정상
16,95,5,1.0,0,정상
16,96,5,1.0,0,정상
16,97,13,0.3846153846153846,1,과부하
16,98,9,0.6666666666666666,0,정상
16,99,5,1.0,0,정상
16,100,13,0.2,1,과부하
16,101,9,0.1111111111111111,1,과부하
16,102,9,0.0,1,과부하
16,103,13,0.2307692307692307,1,과부하
16,104,9,0.6666666666666666,0,정상
16,105,13,0.1538461538461538,1,과부하
16,112,5,1.0,0,정상
16,113,5,1.0,0,정상
16,114,5,1.0,0,정상
16,115,9,0.5555555555555556,1,과부하
16,116,13,0.3846153846153846,1,과부하
16,117,5,1.0,0,정상
16,118,9,0.7777777777777778,0,정상
16,119,9,0.4444444444444444,1,과부하
16,120,9,0.3333333333333333,1,과부하
16,121,13,0.5384615384615384,1,과부하
16,122,13,0.4615384615384615,1,과부하
16,123,13,0.0769230769230769,1,과부하
16,130,13,0.1538461538461538,1,과부하
16,131,5,1.0,0,정상
16,132,9,0.1111111111111111,1,과부하
16,133,5,1.0,0,정상
16,134,13,0.3076923076923077,1,과부하
16,135,13,0.2307692307692307,1,과부하
16,136,13,0.2307692307692307,1,과부하
16,137,9,0.4444444444444444,1,과부하
16,138,5,1.0,0,정상
16,139,9,0.3333333333333333,1,과부하
16,140,9,0.2222222222222222,1,과부하
16,141,5,1.0,0,정상
16,148,5,1.0,0,정상
16,149,5,1.0,0,정상
16,150,9,0.2222222222222222,1,과부하
16,151,13,0.3846153846153846,1,과부하
16,152,13,0.5384615384615384,1,과부하
16,153,13,0.0,1,과부하
16,154,5,1.0,0,정상
16,155,9,0.5555555555555556,1,과부하
16,156,9,0.7777777777777778,0,정상
16,157,13,0.3076923076923077,1,과부하
16,158,9,0.4444444444444444,1,과부하
16,159,5,1.0,0,정상
18,4,5,1.0,0,정상
18,5,9,0.2222222222222222,1,과부하
18,6,5,1.0,0,정상
18,7,13,0.1538461538461538,1,과부하
18,8,9,0.4444444444444444,1,과부하
18,9,9,0.3333333333333333,1,과부하
18,10,13,0.3846153846153846,1,과부하
18,11,13,0.0769230769230769,1,과부하
18,12,5,1.0,0,정상
18,13,9,0.6666666666666666,0,정상
18,14,13,0.3076923076923077,1,과부하
18,15,5,1.0,0,정상
18,22,9,0.5555555555555556,1,과부하
18,23,13,0.3076923076923077,1,과부하
18,24,5,1.0,0,정상
18,25,9,0.6666666666666666,0,정상
18,26,5,1.0,0,정상
18,27,9,0.7777777777777778,0,정상
18,28,5,1.0,0,정상
18,29,5,1.0,0,정상
18,30,13,0.4615384615384615,1,과부하
18,31,9,0.3333333333333333,1,과부하
18,32,13,0.1538461538461538,1,과부하
18,33,13,0.3846153846153846,1,과부하
18,40,13,0.3076923076923077,1,과부하
18,41,13,0.4615384615384615,1,과부하
18,42,5,0.6,1,과부하
18,43,9,0.3333333333333333,1,과부하
18,44,5,1.0,0,정상
18,45,9,0.7777777777777778,0,정상
18,46,13,0.2307692307692307,1,과부하
18,47,5,1.0,0,정상
18,48,13,0.2307692307692307,1,과부하
18,49,9,0.5555555555555556,1,과부하
18,50,5,1.0,0,정상
18,51,9,0.5555555555555556,1,과부하
18,58,9,0.7777777777777778,0,정상
18,59,5,1.0,0,정상
18,60,13,0.4615384615384615,1,과부하
18,61,13,0.3846153846153846,1,과부하
18,62,9,0.8888888888888888,0,정상
18,63,5,1.0,0,정상
18,64,5,1.0,0,정상
18,65,9,0.5555555555555556,1,과부하
18,66,9,0.4444444444444444,1,과부하
18,67,13,0.3076923076923077,1,과부하
18,68,5,1.0,0,정상
18,69,13,0.3076923076923077,1,과부하
18,76,9,0.7777777777777778,0,정상
18,77,5,1.0,0,정상
18,78,5,0.8,0,정상
18,79,5,1.0,0,정상
18,80,9,0.6666666666666666,0,정상
18,81,13,0.6153846153846154,1,과부하
18,82,5,1.0,0,정상
18,83,9,0.5555555555555556,1,과부하
18,84,9,0.4444444444444444,1,과부하
18,85,13,0.1538461538461538,1,과부하
18,86,13,0.3076923076923077,1,과부하
18,87,13,0.5384615384615384,1,과부하
18,94,5,1.0,0,정상
18,95,5,1.0,0,정상
18,96,5,1.0,0,정상
18,97,9,0.5555555555555556,1,과부하
18,98,9,0.5555555555555556,1,과부하
18,99,9,0.7777777777777778,0,정상
18,100,13,0.4615384615384615,1,과부하
18,101,13,0.3076923076923077,1,과부하
18,102,13,0.4615384615384615,1,과부하
18,103,5,1.0,0,정상
18,104,13,0.3846153846153846,1,과부하
18,105,9,0.5555555555555556,1,과부하
18,112,13,0.4615384615384615,1,과부하
18,113,5,0.6,1,과부하
18,114,13,0.2307692307692307,1,과부하
18,115,9,0.3333333333333333,1,과부하
18,116,9,0.4444444444444444,1,과부하
18,117,5,1.0,0,정상
18,118,13,0.5384615384615384,1,과부하
18,119,5,1.0,0,정상
18,120,9,0.4444444444444444,1,과부하
18,121,13,0.2307692307692307,1,과부하
18,122,9,0.5555555555555556,1,과부하
18,123,5,1.0,0,정상
18,130,5,1.0,0,정상
18,131,13,0.2307692307692307,1,과부하
18,132,5,1.0,0,정상
18,133,9,0.6666666666666666,0,정상
18,134,9,0.5555555555555556,1,과부하
18,135,13,0.3076923076923077,1,과부하
18,136,5,1.0,0,정상
18,137,13,0.2307692307692307,1,과부하
18,138,13,0.3076923076923077,1,과부하
18,139,9,0.1111111111111111,1,과부하
18,140,9,0.5555555555555556,1,과부하
18,141,5,1.0,0,정상
18,148,5,1.0,0,정상
18,149,13,0.2307692307692307,1,과부하
18,150,9,0.2222222222222222,1,과부하
18,151,9,0.4444444444444444,1,과부하
18,152,13,0.4615384615384615,1,과부하
18,153,9,0.6666666666666666,0,정상
18,154,9,0.4444444444444444,1,과부하
18,155,5,1.0,0,정상
18,156,5,1.0,0,정상
18,157,13,0.3076923076923077,1,과부하
18,158,5,1.0,0,정상
18,159,13,0.3076923076923077,1,과부하
19,4,9,0.6666666666666666,0,정상
19,5,13,0.2307692307692307,1,과부하
19,6,9,0.2222222222222222,1,과부하
19,7,9,0.6666666666666666,0,정상
19,8,5,1.0,0,정상
19,9,5,1.0,0,정상
19,10,13,0.1538461538461538,1,과부하
19,11,9,0.4444444444444444,1,과부하
19,12,13,0.4615384615384615,1,과부하
19,13,5,1.0,0,정상
19,14,13,0.0769230769230769,1,과부하
19,15,5,1.0,0,정상
19,22,9,0.5555555555555556,1,과부하
19,23,9,0.6666666666666666,0,정상
19,24,5,1.0,0,정상
19,25,13,0.2307692307692307,1,과부하
19,26,13,0.1538461538461538,1,과부하
19,27,13,0.3846153846153846,1,과부하
19,28,9,1.0,0,정상
19,29,5,1.0,0,정상
19,30,9,0.3333333333333333,1,과부하
19,31,13,0.1538461538461538,1,과부하
19,32,5,1.0,0,정상
19,33,5,0.4,1,과부하
19,40,13,0.6153846153846154,1,과부하
19,41,13,0.2307692307692307,1,과부하
19,42,5,1.0,0,정상
19,43,9,0.7777777777777778,0,정상
19,44,9,0.7777777777777778,0,정상
19,45,9,0.1111111111111111,1,과부하
19,46,5,1.0,0,정상
19,47,13,0.5384615384615384,1,과부하
19,48,13,0.3846153846153846,1,과부하
19,49,5,1.0,0,정상
19,50,9,0.8888888888888888,0,정상
19,51,5,1.0,0,정상
19,58,13,0.5384615384615384,1,과부하
19,59,5,1.0,0,정상
19,60,5,1.0,0,정상
19,61,9,1.0,0,정상
19,62,9,0.2222222222222222,1,과부하
19,63,5,1.0,0,정상
19,64,13,0.1538461538461538,1,과부하
19,65,13,0.3846153846153846,1,과부하
19,66,13,0.5384615384615384,1,과부하
19,67,5,1.0,0,정상
19,68,9,0.7777777777777778,0,정상
19,69,9,0.4444444444444444,1,과부하
19,76,5,1.0,0,정상
19,77,9,0.5555555555555556,1,과부하
19,78,13,0.3076923076923077,1,과부하
